product_id,code,quantity,possible_size,in_db
64650,00548312,17,None,True
64665,00548318,0,None,True
64672,00550312,0,None,True
64685,00550318,0,None,True
133834,00553148,232,Size 148 cm,True
133842,00553151,458,Size 151 cm,True
161661,00553170,62,Size 170 cm,True
133819,00553222,132,None,True
133849,00553258,216,None,True
133827,00553288,78,None,True
161668,00553321,4,None,True
133856,00553348,119,None,True
161675,00553407,97,None,True
61649,00571102,159,Size 102 cm,True
62184,00571115,0,Size 115 cm,True
63243,00571145,0,Size 145 cm,True
63175,00571146,0,Size 146 cm,True
63264,00571200,23,Size 200 cm,True
63252,00571241,0,None,True
63166,00571264,0,None,True
63225,00571272,0,None,True
63211,00571301,0,None,True
63157,00571312,0,None,True
63202,00571319,0,None,True
63218,00571360,0,None,True
63184,00571384,0,None,True
63234,00571400,2,None,True
63193,00571712,0,None,True
63360,00573102,124,Size 102 cm,True
63348,00573115,0,Size 115 cm,True
63336,00573145,0,Size 145 cm,True
63288,00573146,0,Size 146 cm,True
63354,00573200,0,Size 200 cm,True
63342,00573241,0,None,True
63282,00573264,0,None,True
63324,00573272,10,None,True
63276,00573312,0,None,True
63306,00573319,0,None,True
63318,00573360,0,None,True
63294,00573384,0,None,True
63300,00573712,0,None,True
64467,00574102,0,Size 102 cm,True
64460,00574145,0,Size 145 cm,True
75649,00574238,0,None,True
64439,00574284,0,None,True
64431,00574312,0,None,True
64453,00574319,0,None,True
64446,00574403,0,None,True
64510,00575102,0,Size 102 cm,True
64503,00575145,3,Size 145 cm,True
75656,00575238,5,None,True
64482,00575284,0,None,True
64474,00575312,0,None,True
64496,00575319,0,None,True
64489,00575403,0,None,True
75484,00578794,31,None,True
75682,00584312,14,None,True
64572,00591312,0,None,True
64591,00591318,0,None,True
161632,00594342TUN,0,Child size 2T,True
161633,00594712TUN,823,Child size 2T,True
161634,00594916TUN,485,Child size 6T,True
161635,00594989TUN,97,Child size 9T,True
52608,00598312TUN,0,Child size 2T,True
64852,00598319TUN,0,Child size 9T,True
63647,01159102,315,Size 102 cm,True
63619,01159129,0,Size 129 cm,True
63633,01159145,134,Size 145 cm,True
71561,01159153,0,Size 153 cm,True
63640,01159241,275,None,True
63569,01159280,42,None,True
63605,01159286,0,None,True
63626,01159306,0,None,True
63584,01159312,15,None,True
63598,01159319,0,None,True
63577,01159321,0,None,True
71568,01159342,0,None,True
63612,01159404,0,None,True
63591,01159712,0,None,True
63452,01168102,402,Size 102 cm,True
63438,01168145,319,Size 145 cm,True
63445,01168241,488,None,True
63410,01168264,351,None,True
63395,01168300,391,None,True
63403,01168312,471,None,True
63417,01168319,101,None,True
63424,01168360,395,None,True
63431,01168400,0,None,True
64099,01169241,0,None,True
64078,01169318,286,None,True
64045,01170312,0,None,True
64052,01170318,0,None,True
64128,01171887,0,None,True
64135,01171889,0,None,True
64106,01171891,0,None,True
64121,01171893,0,None,True
64114,01171894,10,None,True
63752,01179102,8,Size 102 cm,True
63740,01179145,0,Size 145 cm,True
63746,01179241,11,None,True
63721,01179280,0,None,True
63728,01179312,1,None,True
63734,01179319,0,None,True
63715,01180102,245,Size 102 cm,True
63703,01180145,0,Size 145 cm,True
63709,01180241,0,None,True
63684,01180280,0,None,True
63691,01180312,250,None,True
63697,01180319,250,None,True
63977,01181236,20,None,True
64020,01193312,0,None,True
64027,01193318,0,None,True
145681,01194162,129,Size 162 cm,True
145687,01194241,103,None,True
161573,01194264,0,None,True
161579,01194269,0,None,True
63662,01194312,116,None,True
145693,01194319,87,None,True
145703,01195162,243,Size 162 cm,True
145710,01195241,221,None,True
161559,01195264,100,None,True
161566,01195269,0,None,True
63654,01195312,290,None,True
145717,01195319,321,None,True
63674,01196906TUN,513,Child size 6T,True
63672,01196908TUN,13,Child size 8T,True
63671,01196912TUN,23,Child size 2T,True
63673,01196913TUN,349,Child size 3T,True
63668,01196935TUN,72,Child size 5T,True
236842,01198102TUN,1309,Size 102 cm,True
